date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T14:30,34.1,93.4
2026-06-25,2026-06-25T16:15,33.2,91.8
2026-06-25,2026-06-25T16:30,33.2,91.8
2026-06-25,2026-06-25T16:30,33.2,91.8
2026-06-25,2026-06-25T16:30,33.2,91.8
2026-06-25,2026-06-25T16:45,32.9,91.2
2026-06-25,2026-06-25T16:45,32.9,91.2
2026-06-25,2026-06-25T16:45,32.9,91.2
2026-06-25,2026-06-25T16:45,32.9,91.2
2026-06-25,2026-06-25T16:45,32.9,91.2
2026-06-26,2026-06-25T17:15,32.4,90.3
2026-06-26,2026-06-25T17:15,32.4,90.3
2026-06-26,2026-06-25T17:15,32.4,90.3
2026-06-26,2026-06-25T17:45,31.4,88.5
2026-06-26,2026-06-25T18:00,30.9,87.6
2026-06-26,2026-06-25T18:00,30.9,87.6
2026-06-26,2026-06-25T18:15,30.3,86.5
2026-06-26,2026-06-25T18:15,30.3,86.5
2026-06-26,2026-06-25T21:30,27.6,81.7
2026-06-26,2026-06-26T09:45,30.8,87.4
2026-06-26,2026-06-26T10:00,31.2,88.2
2026-06-26,2026-06-26T10:00,31.2,88.2
2026-06-26,2026-06-26T11:15,33.3,91.9
2026-06-26,2026-06-26T14:00,34.9,94.8
2026-06-26,2026-06-26T14:00,34.9,94.8
2026-06-26,2026-06-26T14:15,34.9,94.8
2026-06-26,2026-06-26T14:15,34.9,94.8
2026-06-26,2026-06-26T14:15,34.9,94.8
2026-06-26,2026-06-26T16:00,34.3,93.7
2026-06-27,2026-06-27T02:15,26.0,78.8
2026-06-27,2026-06-27T06:15,26.1,79.0
2026-06-27,2026-06-27T10:45,33.4,92.1
2026-06-27,2026-06-27T15:45,35.1,95.2
2026-06-28,2026-06-28T02:45,25.2,77.4
2026-06-28,2026-06-28T06:15,27.0,80.6
2026-06-28,2026-06-28T11:00,33.7,92.7
2026-06-28,2026-06-28T15:45,34.9,94.8
2026-06-29,2026-06-29T04:45,25.4,77.7
2026-06-29,2026-06-29T09:00,30.8,87.4
2026-06-29,2026-06-29T12:00,34.8,94.6
2026-06-29,2026-06-29T15:45,35.6,96.1
2026-06-30,2026-06-30T03:30,24.6,76.3
2026-06-30,2026-06-30T07:00,27.1,80.8
2026-06-30,2026-06-30T11:45,34.2,93.6
2026-06-30,2026-06-30T16:00,34.9,94.8
2026-07-01,2026-07-01T03:30,24.2,75.6
2026-07-01,2026-07-01T07:15,27.8,82.0
2026-07-01,2026-07-01T11:45,34.1,93.4
2026-07-01,2026-07-01T16:00,35.5,95.9
2026-07-02,2026-07-02T02:45,23.9,75.0
2026-07-02,2026-07-02T06:45,27.3,81.1
