date,max_temp,min_temp
2021-07-01,32.0,23.3
2021-07-02,32.9,24.5
2021-07-03,28.4,24.0
2021-07-04,28.9,23.3
2021-07-05,28.0,23.2
2021-07-06,28.9,22.5
2021-07-07,28.6,22.5
2021-07-08,29.2,21.5
2021-07-09,26.9,22.4
2021-07-10,30.0,23.1
2021-07-11,30.7,23.8
2021-07-12,29.7,21.9
2021-07-13,29.8,22.2
2021-07-14,29.1,22.7
2022-07-01,35.8,24.6
2022-07-02,36.6,23.6
2022-07-03,37.4,25.8
2022-07-04,36.6,24.5
2022-07-05,37.3,24.9
2022-07-06,38.4,25.0
2022-07-07,37.9,25.6
2022-07-08,38.3,26.2
2022-07-09,38.8,27.6
2022-07-10,41.5,27.8
2022-07-11,40.2,28.3
2022-07-12,39.0,28.2
2022-07-13,40.4,28.7
2022-07-14,35.2,27.1
2023-07-01,36.8,25.6
2023-07-02,32.1,24.3
2023-07-03,33.9,26.6
2023-07-04,34.6,26.6
2023-07-05,35.2,25.3
2023-07-06,31.7,24.9
2023-07-07,32.2,23.5
2023-07-08,37.0,24.4
2023-07-09,38.8,25.8
2023-07-10,40.1,26.6
2023-07-11,39.7,26.8
2023-07-12,41.5,26.3
2023-07-13,40.5,25.9
2023-07-14,39.7,25.7
2024-07-01,37.5,24.9
2024-07-02,38.5,25.5
2024-07-03,36.6,25.3
2024-07-04,37.3,25.9
2024-07-05,36.2,24.7
2024-07-06,35.3,22.4
2024-07-07,35.0,22.8
2024-07-08,34.6,24.2
2024-07-09,36.0,22.5
2024-07-10,36.2,24.7
2024-07-11,36.7,22.4
2024-07-12,32.9,23.1
2024-07-13,33.2,22.9
2024-07-14,34.7,24.7
2025-07-01,33.7,23.7
2025-07-02,32.3,24.8
2025-07-03,29.4,23.5
2025-07-04,25.6,23.1
2025-07-05,25.7,23.2
2025-07-06,28.9,22.8
2025-07-07,29.6,23.8
2025-07-08,31.8,23.3
2025-07-09,29.5,23.4
2025-07-10,31.4,23.1
2025-07-11,30.6,22.9
2025-07-12,30.2,23.3
2025-07-13,28.3,22.6
2025-07-14,30.3,22.7
